"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"22/03/2026";"0000";"20,3";"20,7";"20,3";"91,0";"92,0";"90,0";"18,7";"19,4";"18,7";"887,0";"887,0";"886,4";"2,0";"342,0";"4,9";"";"0,0"
"22/03/2026";"0100";"20,2";"20,5";"20,1";"92,0";"92,0";"90,0";"18,8";"18,8";"18,7";"887,7";"887,7";"887,0";"2,4";"337,0";"4,1";"";"0,0"
"22/03/2026";"0200";"20,0";"20,2";"19,9";"94,0";"94,0";"92,0";"18,9";"18,9";"18,8";"887,8";"887,9";"887,7";"2,5";"358,0";"5,2";"";"0,0"
"22/03/2026";"0300";"20,0";"20,0";"19,9";"94,0";"94,0";"94,0";"19,1";"19,1";"18,9";"887,7";"887,8";"887,5";"1,7";"10,0";"4,5";"";"0,0"
"22/03/2026";"0400";"20,1";"20,1";"20,0";"95,0";"95,0";"94,0";"19,3";"19,3";"19,1";"887,4";"887,7";"887,4";"1,4";"20,0";"3,7";"";"0,0"
"22/03/2026";"0500";"18,5";"20,1";"18,5";"91,0";"96,0";"90,0";"17,0";"19,4";"17,0";"886,8";"887,4";"886,8";"2,2";"36,0";"6,5";"";"0,6"
"22/03/2026";"0600";"18,3";"18,7";"18,2";"95,0";"95,0";"90,0";"17,4";"17,4";"17,0";"886,1";"886,8";"886,1";"1,4";"333,0";"5,5";"";"0,2"
"22/03/2026";"0700";"18,9";"19,0";"18,3";"96,0";"96,0";"95,0";"18,3";"18,4";"17,4";"885,7";"886,1";"885,6";"1,4";"352,0";"2,4";"";"0,0"
"22/03/2026";"0800";"19,1";"19,2";"18,8";"97,0";"97,0";"96,0";"18,6";"18,8";"18,3";"886,4";"886,4";"885,7";"1,1";"297,0";"2,5";"";"0,0"
"22/03/2026";"0900";"18,5";"19,1";"18,2";"98,0";"98,0";"97,0";"18,1";"18,6";"17,8";"886,8";"886,8";"886,4";"1,1";"309,0";"2,0";"";"0,0"
"22/03/2026";"1000";"19,4";"19,4";"18,3";"98,0";"98,0";"97,0";"19,0";"19,0";"17,9";"887,5";"887,5";"886,8";"0,7";"244,0";"1,7";"74,30";"0,0"
"22/03/2026";"1100";"20,9";"20,9";"19,4";"94,0";"98,0";"94,0";"19,9";"19,9";"19,0";"887,9";"887,9";"887,5";"0,7";"327,0";"1,5";"419,30";"0,0"
"22/03/2026";"1200";"23,2";"23,3";"20,9";"79,0";"94,0";"78,0";"19,3";"20,0";"19,0";"888,3";"888,3";"887,9";"1,5";"13,0";"2,8";"1436,30";"0,0"
"22/03/2026";"1300";"25,0";"25,2";"23,2";"69,0";"81,0";"68,0";"18,9";"20,0";"18,5";"888,2";"888,4";"888,2";"1,5";"132,0";"3,5";"2047,30";"0,0"
"22/03/2026";"1400";"20,2";"25,0";"18,6";"97,0";"97,0";"69,0";"19,6";"19,6";"17,9";"888,5";"888,8";"888,2";"0,9";"21,0";"7,7";"425,80";"18,0"
"22/03/2026";"1500";"22,5";"22,6";"20,1";"90,0";"97,0";"90,0";"20,8";"21,3";"19,6";"887,7";"888,5";"887,7";"1,5";"302,0";"3,3";"1351,20";"1,4"
"22/03/2026";"1600";"25,0";"25,4";"22,5";"73,0";"90,0";"73,0";"19,8";"21,6";"19,8";"886,5";"887,7";"886,5";"1,6";"312,0";"4,3";"3241,50";"0,0"
"22/03/2026";"1700";"27,1";"27,2";"25,0";"63,0";"76,0";"62,0";"19,4";"20,9";"19,3";"885,3";"886,5";"885,3";"1,8";"260,0";"4,5";"3365,40";"0,0"
"22/03/2026";"1800";"28,3";"28,3";"26,2";"56,0";"67,0";"53,0";"18,6";"19,9";"17,6";"884,3";"885,2";"884,3";"1,4";"224,0";"4,9";"1976,50";"0,0"
"22/03/2026";"1900";"24,8";"28,6";"24,8";"75,0";"76,0";"52,0";"20,1";"20,2";"17,4";"883,9";"884,3";"883,8";"0,5";"97,0";"7,3";"1459,10";"0,0"
"22/03/2026";"2000";"23,9";"24,9";"23,9";"77,0";"81,0";"73,0";"19,6";"21,2";"19,2";"883,7";"883,9";"883,6";"1,6";"293,0";"4,3";"489,80";"0,0"
"22/03/2026";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22/03/2026";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22/03/2026";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
